koloniSistemKimlik,kovanNo,baslangicTarihi,bitisTarihi,aktifMi,aciklama
KOL-001,7,2025-04-22,2025-05-10,0,Mevcut / son bilinen kovan numarası
KOL-002,15,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-003,19,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-004,20,,2025-04-22,0,Başlıkta eski numara olarak geçti; yeni numara ilk görüldüğü tarih 2025-04-22
KOL-004,25,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-005,1,2025-04-22,2025-09-07,0,Mevcut / son bilinen kovan numarası
KOL-006,6,2025-04-22,2025-10-13,0,Mevcut / son bilinen kovan numarası
KOL-007,3,2025-04-22,2026-01-13,0,Mevcut / son bilinen kovan numarası
KOL-008,22,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-009,9,2025-04-23,,1,Mevcut / son bilinen kovan numarası
KOL-010,14,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-011,4,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-012,10,2025-04-22,2025-09-07,0,Mevcut / son bilinen kovan numarası
KOL-013,25,2025-04-22,2025-11-13,0,Mevcut / son bilinen kovan numarası
KOL-014,26,2025-04-22,2025-11-13,0,Mevcut / son bilinen kovan numarası
KOL-015,8,,2025-04-22,0,Başlıkta eski numara olarak geçti; yeni numara ilk görüldüğü tarih 2025-04-22
KOL-015,39,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-016,12,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-017,13,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-018,2,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-019,30,2025-04-22,2026-01-13,0,Mevcut / son bilinen kovan numarası
KOL-020,31,2025-04-22,,1,Mevcut / son bilinen kovan numarası
KOL-021,11,2025-05-01,,1,Mevcut / son bilinen kovan numarası
KOL-022,40,2025-05-03,,1,Mevcut / son bilinen kovan numarası
KOL-023,29,,2025-05-09,0,Başlıkta eski numara olarak geçti; yeni numara ilk görüldüğü tarih 2025-05-09
KOL-023,26,2025-05-09,,1,Mevcut / son bilinen kovan numarası
KOL-024,23,2025-05-20,2025-06-26,0,Mevcut / son bilinen kovan numarası
KOL-025,5,2025-04-22,2025-05-27,0,Mevcut / son bilinen kovan numarası
KOL-026,5,2025-06-08,,1,Mevcut / son bilinen kovan numarası
KOL-027,39,2025-06-08,2026-04-01,0,Mevcut / son bilinen kovan numarası
